Radios  Ck
0.416 0.112-0.401j
0.271 -0.188+0.195j
0.517 0.376-0.355j
0.405 -0.211+0.346j
0.463 0.276+0.371j
0.634 -0.237+0.588j
0.108 -0.077+0.075j
0.365 -0.271-0.244j
0.345 0.115+0.325j
0.384 -0.282-0.260j
0.401 -0.148+0.372j
0.589 -0.443-0.389j
0.338 0.166-0.295j
0.466 0.459-0.082j
0.502 0.501-0.036j
0.386 -0.086+0.376j
0.706 -0.353+0.612j
0.886 -0.823+0.328j
0.098 -0.010-0.098j
0.315 -0.262-0.175j
0.871 0.806-0.332j
0.039 -0.021-0.033j
0.078 -0.061-0.049j
0.413 0.140-0.389j
0.527 0.246-0.466j
0.438 0.344+0.270j
0.384 0.225-0.311j
0.711 -0.278+0.654j
0.387 -0.342-0.183j
1.188 -1.168+0.220j
0.286 0.279+0.064j
1.055 -1.034+0.208j
0.502 0.479-0.151j
0.805 -0.674-0.439j
0.410 0.396+0.105j
0.808 -0.596-0.545j
1.362 -0.161+1.352j
1.163 0.282-1.129j
0.275 -0.265+0.072j
1.750 1.556-0.800j
0.353 0.343-0.084j
1.415 0.742-1.205j
0.639 0.133+0.625j
1.683 -1.590-0.550j
1.429 -1.275-0.647j
2.067 -1.675-1.212j
0.749 -0.578-0.475j
1.767 -1.675+0.564j
1.861 -1.687+0.785j
1.439 -1.381+0.402j
1.079 -0.620+0.884j
0.432 0.043-0.430j
0.579 0.572+0.087j
0.679 0.664+0.143j
0.710 0.588+0.398j
1.268 -1.203-0.402j
1.849 0.347-1.817j
0.905 0.513-0.746j
1.931 1.637-1.025j
1.753 0.613+1.642j
1.320 -1.236+0.464j
0.304 -0.022+0.303j
1.381 -0.886+1.059j
0.567 -0.563+0.067j
0.401 0.229+0.329j
1.674 1.442-0.850j
0.995 0.960+0.261j
2.408 0.488+2.358j
1.484 -0.680+1.320j
1.053 -0.881-0.577j
1.901 -1.250+1.432j
2.469 2.469+0.028j
4.001 -3.996+0.189j
1.214 -1.135+0.430j
3.595 3.564+0.475j
3.008 -2.906-0.778j
3.858 -0.806+3.773j
3.694 -2.029-3.086j
2.577 2.332-1.096j
3.968 0.472+3.940j
0.491 0.343-0.351j
8.463 -7.478+3.963j
6.727 3.653-5.648j
12.958 11.110+6.668j
7.427 -3.572+6.512j
8.465 -6.709+5.161j
9.203 -8.866-2.471j
9.154 -3.268-8.550j
13.214 6.760-11.353j
8.800 -8.035-3.589j
19.595 -16.323-10.841j
30.789 30.197+6.010j
32.715 -19.408-26.337j
56.834 39.952-40.422j
60.296 -10.497+59.375j
69.527 14.937+67.903j
